Name;Parent;Active;Link_rewrite;Meta_title;Meta_keywords;Meta_description
Produkty;;1;produkty;Produkty;Produkty;Produkty
Klasyczne kostki;Produkty;1;klasyczne-kostki;Klasyczne kostki;Klasyczne kostki;Klasyczne kostki
Układanki;Produkty;1;ukladanki;Układanki;Układanki;Układanki
Akcesoria;Produkty;1;akcesoria;Akcesoria;Akcesoria;Akcesoria
Hobby;Produkty;1;hobby;Hobby;Hobby;Hobby
Naklejki;Produkty;1;naklejki;Naklejki;Naklejki;Naklejki
Outlet;Produkty;1;outlet;Outlet;Outlet;Outlet
Smary;Produkty;1;smary;Smary;Smary;Smary
Timery;Akcesoria;1;timery;Timery;Timery;Timery
Maty;Akcesoria;1;maty;Maty;Maty;Maty
Zestaw Mata + Timer;Akcesoria;1;zestaw-mata-timer;Zestaw Mata + Timer;Zestaw Mata + Timer;Zestaw Mata + Timer
Podstawki;Akcesoria;1;podstawki;Podstawki;Podstawki;Podstawki
Woreczki;Akcesoria;1;woreczki;Woreczki;Woreczki;Woreczki
Sety konstrukcyjne;Akcesoria;1;sety-konstrukcyjne;Sety konstrukcyjne;Sety konstrukcyjne;Sety konstrukcyjne
Blindfold;Akcesoria;1;blindfold;Blindfold;Blindfold;Blindfold
Inne;Akcesoria;1;inne;Inne;Inne;Inne
Części zamienne;Akcesoria;1;czesci-zamienne;Części zamienne;Części zamienne;Części zamienne
Odzież;Akcesoria;1;odziez;Odzież;Odzież;Odzież
Torby;Akcesoria;1;torby;Torby;Torby;Torby
2x2x2;Klasyczne kostki;1;2x2x2;2x2x2;2x2x2;2x2x2
3x3x3;Klasyczne kostki;1;3x3x3;3x3x3;3x3x3;3x3x3
4x4x4;Klasyczne kostki;1;4x4x4;4x4x4;4x4x4;4x4x4
5x5x5;Klasyczne kostki;1;5x5x5;5x5x5;5x5x5;5x5x5
6x6x6;Klasyczne kostki;1;6x6x6;6x6x6;6x6x6;6x6x6
7x7x7;Klasyczne kostki;1;7x7x7;7x7x7;7x7x7;7x7x7
8x8x8;Klasyczne kostki;1;8x8x8;8x8x8;8x8x8;8x8x8
9x9x9;Klasyczne kostki;1;9x9x9;9x9x9;9x9x9;9x9x9
10x10x10;Klasyczne kostki;1;10x10x10;10x10x10;10x10x10;10x10x10
11x11x11;Klasyczne kostki;1;11x11x11;11x11x11;11x11x11;11x11x11
12x12x12;Klasyczne kostki;1;12x12x12;12x12x12;12x12x12;12x12x12
13x13x13;Klasyczne kostki;1;13x13x13;13x13x13;13x13x13;13x13x13
14x14 - 21x21;Klasyczne kostki;1;14x14-21x21;14x14 - 21x21;14x14 - 21x21;14x14 - 21x21
Speedstacking;Hobby;1;speedstacking;Speedstacking;Speedstacking;Speedstacking
Neocube;Hobby;1;neocube;Neocube;Neocube;Neocube
Pen Spinning;Hobby;1;pen-spinning;Pen Spinning;Pen Spinning;Pen Spinning
Fingerboard;Hobby;1;fingerboard;Fingerboard;Fingerboard;Fingerboard
Yoyo;Hobby;1;yoyo;Yoyo;Yoyo;Yoyo
Układanki logiczne metalowe;Hobby;1;ukladanki-logiczne-metalowe;Układanki logiczne metalowe;Układanki logiczne metalowe;Układanki logiczne metalowe
Układanki logiczne drewniane;Hobby;1;ukladanki-logiczne-drewniane;Układanki logiczne drewniane;Układanki logiczne drewniane;Układanki logiczne drewniane
Inne;Hobby;1;inne;Inne;Inne;Inne
Pyraminx;Układanki;1;pyraminx;Pyraminx;Pyraminx;Pyraminx
Megaminx;Układanki;1;megaminx;Megaminx;Megaminx;Megaminx
Skewb;Układanki;1;skewb;Skewb;Skewb;Skewb
Square-1;Układanki;1;square-1;Square-1;Square-1;Square-1
Mirror;Układanki;1;mirror;Mirror;Mirror;Mirror
Gear;Układanki;1;gear;Gear;Gear;Gear
Zmiennokształtne;Układanki;1;zmiennoksztaltne;Zmiennokształtne;Zmiennokształtne;Zmiennokształtne
Kuboidy;Układanki;1;kuboidy;Kuboidy;Kuboidy;Kuboidy
Pyra_Mastermorphix;Układanki;1;pyra-mastermorphix;Pyra_Mastermorphix;Pyra_Mastermorphix;Pyra_Mastermorphix
Breloczki;Układanki;1;breloczki;Breloczki;Breloczki;Breloczki
Kolekcjonerskie;Układanki;1;kolekcjonerskie;Kolekcjonerskie;Kolekcjonerskie;Kolekcjonerskie
Magic;Układanki;1;magic;Magic;Magic;Magic
Snake;Układanki;1;snake;Snake;Snake;Snake
Figurki;Układanki;1;figurki;Figurki;Figurki;Figurki
Clock;Układanki;1;clock;Clock;Clock;Clock
Fidget;Układanki;1;fidget;Fidget;Fidget;Fidget
Inne;Układanki;1;inne;Inne;Inne;Inne
Zestawy;Układanki;1;zestawy;Zestawy;Zestawy;Zestawy
Klotski+;Układanki;1;klotski;Klotski+;Klotski+;Klotski+
